event_timestamp,tag_id,tag_name,tag_desc,tag_unit
06-05-2022 21:58:33,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference ,mps)
06-05-2022 21:58:33,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference ,mps)
06-05-2022 21:58:33,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference ,mps)
06-05-2022 21:58:33,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference ,mps)
06-05-2022 21:58:33,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference ,mps)
06-05-2022 21:58:33,35827,L_R1SDW_SPDREF,R1 Screw Down WS Speed Reference ,mps)
06-05-2022 21:58:33,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference ,mps)
06-05-2022 21:58:33,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference ,mps)
06-05-2022 21:58:33,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference ,mps)
06-05-2022 21:58:33,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference ,mps)
06-05-2022 21:58:33,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference ,mps)
06-05-2022 21:58:33,35828,L_R1SDD_SPDREF,R1 Screw Down DS Speed Reference ,mps)
06-05-2022 21:58:33,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference ,mps)
06-05-2022 21:58:33,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference ,mps)
06-05-2022 21:58:33,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference ,mps)
06-05-2022 21:58:33,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference ,mps)
06-05-2022 21:58:33,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference ,mps)
06-05-2022 21:58:33,35829,L_R1SDL_SPDREF,R1 Screw Down LS Speed Reference ,mps)
06-05-2022 21:58:33,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback ,mps)
06-05-2022 21:58:33,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback ,mps)
06-05-2022 21:58:33,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback ,mps)
06-05-2022 21:58:33,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback ,mps)
06-05-2022 21:58:33,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback ,mps)
06-05-2022 21:58:33,35830,L_R1SDW_SPDFBK,R1 Screw Down WS Speed Feedback ,mps)
06-05-2022 21:58:33,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback ,mps)
06-05-2022 21:58:33,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback ,mps)
06-05-2022 21:58:33,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback ,mps)
06-05-2022 21:58:33,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback ,mps)
06-05-2022 21:58:33,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback ,mps)
06-05-2022 21:58:33,35831,L_R1SDD_SPDFBK,R1 Screw Down DS Speed Feedback ,mps)
06-05-2022 21:58:33,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback ,mps)
06-05-2022 21:58:33,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback ,mps)
06-05-2022 21:58:33,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback ,mps)
06-05-2022 21:58:33,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback ,mps)
06-05-2022 21:58:33,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback ,mps)
06-05-2022 21:58:33,35832,L_R1SDL_SPDFBK,R1 Screw Down LS Speed Feedback ,mps)
06-05-2022 21:58:33,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,
06-05-2022 21:58:33,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,
06-05-2022 21:58:33,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,
06-05-2022 21:58:33,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,
06-05-2022 21:58:33,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,
06-05-2022 21:58:33,35974,L_R1_ODG_AUX_B07,R1 ODG AUX output B07,
06-05-2022 21:58:33,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,
06-05-2022 21:58:33,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,
06-05-2022 21:58:33,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,
06-05-2022 21:58:33,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,
06-05-2022 21:58:33,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,
06-05-2022 21:58:33,83528,RM1_RUNDOWN_ID_HS,R! RUNDOWN ID,
06-05-2022 21:58:33,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP ,MM)
06-05-2022 21:58:33,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP ,MM)
06-05-2022 21:58:33,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP ,MM)
06-05-2022 21:58:33,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP ,MM)
06-05-2022 21:58:33,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP ,MM)
06-05-2022 21:58:33,83530,L_R1SD_WS_GAP,R1 SCREW DOWN WORK SIDE GAP ,MM)
06-05-2022 21:58:33,83531,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP ,MM)
06-05-2022 21:58:33,83531,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP ,MM)
06-05-2022 21:58:33,83531,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP ,MM)
06-05-2022 21:58:33,83531,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP ,MM)
06-05-2022 21:58:33,83531,L_R1SD_DS_GAP,R1 SCREW DOWN DRIVE SIDE GAP ,MM)
